"namekey";"personalname";"gender";"ethnicity";"class";"personkey";"inscriptionkey";"corpusidnumber";"corpusname";"corpusidnumeric";"comment";"ethnicname";"groupnamecategory";"origin"
1417;"Python";"Male";"Greek";"Parent name";3880;2318;"7";"I Aeg Thrace";10007;"";"Akanthios";"City";"Greek"
689;"Filon";"Male";"Greek";"Personal name";3880;2318;"7";"I Aeg Thrace";10007;"";"Akanthios";"City";"Greek"
2176;"Markos";"Male";"Roman";"Parent name";3881;2323;"8";"I Aeg Thrace";10008;"";"Romaioi";"City";"Roman"
2176;"Markos";"Male";"Roman";"Personal name";3881;2323;"8";"I Aeg Thrace";10008;"";"Romaioi";"City";"Roman"
2324;"Ouallios";"Male";"Roman";"Personal name";3881;2323;"8";"I Aeg Thrace";10008;"";"Romaioi";"City";"Roman"
2330;"Apoustios";"Male";"Roman";"Personal name";3882;2329;"9";"I Aeg Thrace";10009;"";"Romaioi";"City";"Roman"
2173;"Gaios";"Male";"Roman";"Personal name";3882;2329;"9";"I Aeg Thrace";10009;"";"Romaioi";"City";"Roman"
2176;"Markos";"Male";"Roman";"Parent name";3882;2329;"9";"I Aeg Thrace";10009;"";"Romaioi";"City";"Roman"
2177;"Poplios";"Male";"Roman";"Personal name";3883;2329;"9";"I Aeg Thrace";10009;"";"Romaioi";"City";"Roman"
2177;"Poplios";"Male";"Roman";"Personal name";3883;2333;"10";"I Aeg Thrace";10010;"";"Romaioi";"City";"Roman"
2330;"Apoustios";"Male";"Roman";"Personal name";3883;2329;"9";"I Aeg Thrace";10009;"";"Romaioi";"City";"Roman"
2330;"Apoustios";"Male";"Roman";"Personal name";3883;2333;"10";"I Aeg Thrace";10010;"";"Romaioi";"City";"Roman"
2173;"Gaios";"Male";"Roman";"Parent name";3883;2329;"9";"I Aeg Thrace";10009;"";"Romaioi";"City";"Roman"
2173;"Gaios";"Male";"Roman";"Parent name";3883;2333;"10";"I Aeg Thrace";10010;"";"Romaioi";"City";"Roman"
820;"Hermonax";"Male";"Greek";"Personal name";3887;2343;"16";"I Aeg Thrace";10016;"";"Eurysthenides";"City";"Roman"
464;"Dionysas";"Male";"Greek";"Parent name";3887;2343;"16";"I Aeg Thrace";10016;"";"Eurysthenides";"City";"Roman"
1624;"Thaliarchos";"Male";"Greek";"Personal name";3924;2398;"58";"I Aeg Thrace";10058;"";"Athenaios";"City";"Greek"
3955;"Prax[iadas]";"Male";"Uncertain";"Parent name";3929;2400;"60";"I Aeg Thrace";10060;"";"Kyrenaios";"City";"Greek"
928;"Karnis";"Male";"Greek";"Personal name";3929;2400;"60";"I Aeg Thrace";10060;"";"Kyrenaios";"City";"Greek"
11;"Achilleus";"Male";"Greek";"Personal name";4017;2473;"89";"I Aeg Thrace";10089;"husband of Aurelia Kalliope, from Nikaia in Bithynia";"Neikaios";"City";"Greek"
2348;"Kassios";"Male";"Roman";"Personal name";4017;2473;"89";"I Aeg Thrace";10089;"husband of Aurelia Kalliope, from Nikaia in Bithynia";"Neikaios";"City";"Greek"
2173;"Gaios";"Male";"Roman";"Personal name";4021;2478;"93";"I Aeg Thrace";10093;"";"Lakem[onios]";"Region";"Uncertain"
2480;"Skreimbonios";"Male";"Uncertain";"Personal name";4021;2478;"93";"I Aeg Thrace";10093;"";"Lakem[onios]";"Region";"Uncertain"
1594;"Tarsas";"Male";"Thracian";"Parent name";4075;3233;"536";"IG Bulg 2";30536;"";"Pautaleotes";"City";"Roman"
1594;"Tarsas";"Male";"Thracian";"Personal name";4075;3233;"536";"IG Bulg 2";30536;"";"Pautaleotes";"City";"Roman"
399;"Demosthenes";"Male";"Greek";"Personal name";4077;2492;"103";"I Aeg Thrace";10103;"";"Abderites";"City";"Greek"
4076;"[?]los";"Male";"Greek";"Parent name";4077;2492;"103";"I Aeg Thrace";10103;"";"Abderites";"City";"Greek"
2501;"Niostratos?";"Male";"Greek";"Personal name";4086;2500;"110";"I Aeg Thrace";10110;"";"Paroites";"City";"Greek"
963;"Kikos";"Male";"Greek";"Personal name";4165;2575;"165";"I Aeg Thrace";10165;"";"Aiginetes";"City";"Greek"
702;"Frasidemos";"Male";"Greek";"Parent name";4165;2575;"165";"I Aeg Thrace";10165;"";"Aiginetes";"City";"Greek"
1671;"Timo";"Male";"Greek";"Personal name";4166;2577;"166";"I Aeg Thrace";10166;"";"Amfipolites";"City";"Greek"
1536;"Sopolis";"Male";"Greek";"Personal name";4167;2577;"166";"I Aeg Thrace";10166;"";"Amfipolites";"City";"Greek"
793;"Herakleitos";"Male";"Greek";"Personal name";4176;2611;"172";"I Aeg Thrace";10172;"";"Athenaios";"City";"Greek"
3891;"Unknown";"Ambiguous";"Uncertain";"Parent name";4176;2611;"172";"I Aeg Thrace";10172;"";"Athenaios";"City";"Greek"
1320;"Pausimachos";"Male";"Greek";"Personal name";4179;2616;"177";"I Aeg Thrace";10177;"";"Chalkedonios";"City";"Greek"
430;"Dieios";"Male";"Greek";"Parent name";4179;2616;"177";"I Aeg Thrace";10177;"";"Chalkedonios";"City";"Greek"
2177;"Poplios";"Male";"Roman";"Personal name";4180;2618;"178";"I Aeg Thrace";10178;"";"Romaioi";"City";"Roman"
2176;"Markos";"Male";"Roman";"Personal name";4180;2618;"178";"I Aeg Thrace";10178;"";"Romaioi";"City";"Roman"
4346;"[Ti]tana";"Female";"Uncertain";"Personal name";4348;2741;"221";"I Aeg Thrace";10221;"";"Thraika";"Tribe";"Thracian"
485;"Dizas";"Male";"Thracian";"Personal name";4468;3165;"511";"IG Bulg 2";30511;"";"Pautaleotes";"City";"Roman"
1192;"Moukases";"Male";"Thracian";"Parent name";4468;3165;"511";"IG Bulg 2";30511;"";"Pautaleotes";"City";"Roman"
462;"Dion";"Male";"Greek";"Parent name";4469;2819;"263";"I Aeg Thrace";10263;"";"Kres / Kretes";"Region";"Greek"
2821;"Sotadas";"Male";"Greek";"Personal name";4469;2819;"263";"I Aeg Thrace";10263;"";"Kres / Kretes";"Region";"Greek"
683;"Filippos";"Male";"Greek";"Parent name";4472;2822;"264";"I Aeg Thrace";10264;"";"Philippeus";"City";"Greek"
4471;"[P]tolema[s]";"Male";"Greek";"Personal name";4472;2822;"264";"I Aeg Thrace";10264;"";"Philippeus";"City";"Greek"
4437;"[?]os";"Male";"Uncertain";"Personal name";4474;2824;"265";"I Aeg Thrace";10265;"";"Lysimacheus";"City";"Greek"
182;"Ariston";"Male";"Greek";"Personal name";4475;2824;"265";"I Aeg Thrace";10265;"";"Lysimacheus";"City";"Greek"
1769;"Zotikos";"Male";"Greek";"Personal name";4698;3138;"391";"I Aeg Thrace";10391;"";"Peratikoi";"City";"Greek"
1616;"Teres";"Male";"Thracian";"Grandparent name";4706;3148;"396";"I Aeg Thrace";10396;"";"Maronitai";"City";"Greek"
654;"Ezbenis";"Male";"Thracian";"Parent name";4706;3148;"396";"I Aeg Thrace";10396;"";"Maronitai";"City";"Greek"
2189;"Aurelios";"Male";"Roman";"Personal name";4706;3148;"396";"I Aeg Thrace";10396;"";"Maronitai";"City";"Greek"
1021;"Kronion";"Male";"Greek";"Personal name";4706;3148;"396";"I Aeg Thrace";10396;"";"Maronitai";"City";"Greek"
141;"Apollonios";"Male";"Greek";"Personal name";4795;3436;"465";"I Aeg Thrace";10465;"";"Babylonios";"City";""
862;"Hyakinthos";"Male";"Greek";"Personal name";4798;3438;"466";"I Aeg Thrace";10466;"";"Zmyrnaios";"City";"Greek"
2659;"Markianos / Markeianos";"Male";"Roman";"Personal name";4835;3242;"540";"IG Bulg 2";30540;"";"Pautaleotes";"City";"Roman"
